round,bot_a,bot_b,outcome_a,duration_minutes,category,division,elo_diff
1,518,1057,1.0,9.62,abnormal,2,40.26
1,518,357,0.0,6.16,normal,2,54.2
1,518,605,0.0,12.65,normal,2,21.39
1,1038,40,0.0,6.96,normal,2,54.86
1,1038,262,1.0,8.96,abnormal,2,29.43
1,1038,759,0.0,12.83,normal,2,51.51
1,1038,730,0.0,10.11,normal,2,50.38
1,1038,168,1.0,9.92,normal,2,64.37
1,1038,1042,0.0,4.68,abnormal,2,8.56
1,1038,971,0.0,8.47,normal,2,31.49
1,1038,876,0.0,11.4,normal,2,9.45
1,1038,998,1.0,9.23,normal,2,33.36
1,1038,1023,0.0,14.01,normal,2,9.77
1,1038,340,0.0,10.84,normal,2,71.72
1,1038,901,0.0,9.99,abnormal,2,54.58
1,1038,953,0.0,7.33,normal,2,77.14
1,1038,708,0.0,11.6,normal,2,52.56
1,1038,112,1.0,14.53,normal,2,44.5
1,1038,809,0.0,10.37,abnormal,2,36.26
1,1038,341,1.0,11.46,normal,2,52.18
1,1038,275,0.0,15.5,normal,2,51.55
1,1038,1057,1.0,14.7,normal,2,57.38
1,1038,357,1.0,8.78,normal,2,57.52
1,1038,605,0.0,13.38,normal,2,71.03
1,40,262,1.0,8.89,normal,2,47.61
1,40,759,1.0,10.91,normal,2,8.26
1,40,730,1.0,12.59,normal,2,23.99
1,40,168,1.0,8.91,normal,2,40.62
1,40,1042,1.0,9.4,normal,2,76.77
1,40,971,0.5,8.79,normal,2,68.42
1,40,876,0.5,60.0,timelimit,2,95.68
1,40,998,1.0,8.74,normal,2,93.95
1,40,1023,1.0,9.01,normal,2,98.12
1,40,340,1.0,8.23,normal,2,51.15
1,40,901,1.0,10.37,normal,2,81.11
1,40,953,0.0,5.73,normal,2,71.97
1,40,708,1.0,5.72,normal,2,92.62
1,40,112,1.0,16.52,normal,2,129.22
1,40,809,1.0,12.08,normal,2,117.41
1,40,341,1.0,9.68,normal,2,130.4
1,40,275,1.0,9.22,normal,2,110.96
1,40,1057,1.0,12.48,normal,2,133.61
1,40,357,1.0,6.23,normal,2,129.23
1,40,605,1.0,13.16,normal,2,95.86
1,262,759,1.0,7.98,normal,2,45.36
1,262,730,0.0,9.04,normal,2,28.76
1,262,168,1.0,11.25,normal,2,27.3
1,262,1042,1.0,11.23,normal,2,9.6
1,262,971,0.0,9.2,normal,2,5.05
1,262,876,1.0,8.15,normal,2,15.29
1,262,998,1.0,8.36,normal,2,31.4
1,262,1023,1.0,8.82,normal,2,36.87
1,262,340,0.0,13.32,normal,2,7.71
1,262,901,1.0,7.37,normal,2,6.92
1,262,953,1.0,11.73,normal,2,16.34
1,262,708,1.0,7.66,normal,2,37.87
1,262,112,1.0,8.76,normal,2,74.92
1,262,809,1.0,10.2,normal,2,64.5
